ERROR 2023-03-30 07:57:12,632 [AppLog] 发送设备请求信息异常：无法连接到远程服务器
ERROR 2023-03-30 07:57:34,108 [AppLog] 请求发生了错误：无法连接到远程服务器
ERROR 2023-03-30 07:57:55,155 [AppLog] http://10.87.230.199:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-30 07:58:16,215 [AppLog] 请求发生了错误：无法连接到远程服务器
ERROR 2023-03-30 07:58:37,273 [AppLog] 【主窗体】获取禁止应用程序数据发生异常：无法连接到远程服务器
INFO  2023-03-30 07:59:37,272 [AppLog] 定时任务开始时间:2023-03-30 07:59:37
ERROR 2023-03-30 07:59:58,328 [AppLog] http://10.87.230.199:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-30 08:00:19,522 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-30 08:00:19,522 [AppLog] 定时任务结束时间:2023-03-30 08:00:19
INFO  2023-03-30 08:00:37,273 [AppLog] 定时任务开始时间:2023-03-30 08:00:37
ERROR 2023-03-30 08:00:58,330 [AppLog] http://10.87.230.199:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-30 08:01:19,479 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-30 08:01:19,480 [AppLog] 定时任务结束时间:2023-03-30 08:01:19
INFO  2023-03-30 08:01:37,273 [AppLog] 定时任务开始时间:2023-03-30 08:01:37
ERROR 2023-03-30 08:01:58,335 [AppLog] http://10.87.230.199:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
ERROR 2023-03-30 08:02:19,534 [AppLog] 【主窗体】获取任务数据异常：无法连接到远程服务器
INFO  2023-03-30 08:02:19,535 [AppLog] 定时任务结束时间:2023-03-30 08:02:19
INFO  2023-03-30 08:02:37,276 [AppLog] 定时任务开始时间:2023-03-30 08:02:37
ERROR 2023-03-30 08:02:58,331 [AppLog] http://10.87.230.199:9999/admin/test/setRedis发送redis请求发生了错误：无法连接到远程服务器
